Name,Message,TimeInSeconds
John,hello everyone! ready for this,5
Lisa,hi from Texas!,8
Adam,lets gooo,10
Anthony,checking in good to be here,12
Michelle T.,ready to larn,15
Chris P.,im ready!,16
Kevin Walsh,hi from the uk!!,18
Lauren,hey guys,19
John,i can hear you!,21
Lisa,loud and clear,23
Adam,yes to both,25
Anthony,audio and video are 100%,26
David,yes screen is visable,28
Rachel M.,yes,30
Brian T.,i can se it,31
Jason,yes,33
Emily Clark,yes we can see it,34
Steve W.,yes sir,36
Amanda,all good here,38
Dylan S.,looks good,39
Justin R.,yes,40
Melissa Davis,yes screen is loud n clear lol,42
Scott,yes,43
Laura B.,see it perfectly,44
Ronnie,hey everyone! glad i made it,46
Ronnie,the channel is blowing up man, just crossed $210 today!,52
Lisa,wow $210 on day one? that is amazng,60
John,congrats Ronnie!,65
Thomas,c,172
Steph G.,c 10 billion,173
Adam,has to be c,174
Gary,b,176
Nicole Adams,c,177
Steve W.,c,178
Pat M.,ill guess b,179
Sammi,c,180
Elizabeth,c,181
Alex F.,c for sure,182
Megan,b 70 billion,183
Tyler Brooks,c,184
Aaron,b i think,185
Ronnie,defnitly c,186
Victoria L.,c,187
John,yes i have 4 different AI video tools and am making $0,328
Lisa,excatly my issue right now,331
Adam,yep i have wasted so much time editing tbh,334
Ben Walker,been stuck at 50 subs for months,336
Brittany,what is the partner programe exactly?,345
Chris P.,how do we get into the program?,347
Lauren,wait i thought u just needed views to get paid??,349
Dylan S.,so views alone dont pay?,351
Nick,exactly,353
Sammi,that explins why my 50 vids made nothing...,356
Aaron,mind blown.,359
Victoria L.,how many subs do we nede for it?,362
Ben Walker,can anyone join it?,365
Ronnie,guys listen to him the partner program changes everything,367
Lisa,so how do we get accepted fast?,372
John,is it hard to get approved?,375
Adam,do u show us how to get in?,378
Nick,how long does aproval take?,380
Anthony,yes unfotunately,383
Steve W.,very familar,385
Rachel M.,too familiar lol,387
Rachel M.,tell me about it,389
John,less than 7 days? ive been trying for 7 months!,400
Lisa,wow $278 in 48 hours is crazy,403
Adam,is that actually realistic for a complet beginner?,406
Steve W.,sounds a bit too good to be true tbh...,410
Anthony,$2000 as a beginner? wow,413
Cameron D.,whats the catch,415
Danielle,overnight?? seriously,418
Jordan M.,done for you? okay im listening.,421
Ronnie,guys it actually works. i was skeptical too but look at my numbers!,424
Heather,if its fully done for u then maybe its possible,427
John,yes!,448
Lisa,yes i want tht bonus,450
Adam,yes,452
Anthony,yes lets go!,454
Steve W.,yes i am staying,457
Rebecca,yes,459
David,yes,461
Sammi,yesss,462
Michelle T.,yess def,464
Aaron,yes,465
Kevin Walsh,yes,466
Brian T.,yes,468
Victoria L.,yes,469
Jason,yea,471
Ben Walker,yes,472
Ronnie,yes guys stay till the end its worth it!,473
Nick,yes,475
Andy,yess,476
Marie,yes im here,478
Cameron D.,yes,479
Emily Clark,yes,480
Adam,yes i hate chasing clients,550
Lisa,client work is exhuasting,555
Steve W.,exactly why i want to switch to youtube,559
Rebecca,selling is the absolute hardest parttt,565
Justin R.,wait so we really dont sell anything?,576
Anthony,love the win win win concept,598
Melissa Davis,my kids watch cocomelon all day lol,665
Scott,cocomelon makes millions,672
Adam,150 vids a month is huge,695
Lisa,i struggle to post once a week,708
Steve W.,wow that adds up fast,725
Rebecca,i hate being on camera so this is perfect,765
Anthony,editing takes me hours,778
Laura B.,16k as a beginner is insnae,805
Thomas,a university student making 13.5k? wow,818
Steph G.,i need to drop out too haha,825
Lisa,yes,860
Adam,yes makes perfect sense,862
Anthony,yes,864
Steve W.,yes,866
Rebecca,yes,868
Gary,yes i see the oppurtunity,870
Nicole Adams,yes,872
John,well if its that easy then why isnt everyone doing this? why isnt everyone making money on youtube?,878
Lisa,how do we get into the partner program?,888
Adam,i heard u need 1000 subs,930
Steve W.,4000 hrs is impossible i tried for a year,955
Rebecca,ive been stuck at 200 subs forever,968
Anthony,10 million shorts views?! no way,980
Pat M.,that is excatly why i gave up last time,1000
Elizabeth,i quit after 3 months lol,1012
Adam,me,1245
Steve W.,Me!,1246
John,me,1247
Anthony,me please,1248
Rebecca,me,1249
Lisa,me,1250
Heather,meee,1251
Alex F.,me,1252
Megan,ME,1253
Tyler Brooks,me,1254
Brittany,meee!!!,1255
David,me,1256
Chris P.,me,1257
Ronnie,me,1258
Michelle T.,me,1259
Andy,me,1260
Kevin Walsh,me,1261
Marie,Me,1262
Brian T.,me,1263
Lauren,me,1264
Jason,me,1265
Dylan S.,me,1266
Adam,option 3 for sure!,1385
Steve W.,option 3,1387
Lisa,me!,1389
John,me,1391
Anthony,definitely option 3,1394
Emily Clark,me,1398
Amanda,me,1402
Justin R.,me,1405
Rebecca,me,1408
Sammi,me,1410
Aaron,me,1412
Victoria L.,me,1414
Ben Walker,me,1415
Nick,me,1417
Melissa Davis,me,1418
Ronnie,me,1419
Andy,me,1421
Marie,Me,1423
Scott,me,1424
Cameron D.,me,1425
Laura B.,me,1426
Danielle,mee,1428
Lisa,a faceless channel is excatly what i need,1445
John,yes i do not want to be on camera,1450
Adam,guaranteed adsense? that is the hardest part,1475
Steve W.,guaranteed approval is huge,1480
Rebecca,30 videos created for us?? that alone is worth it,1502
Jordan M.,30 fully edited vids woww,1506
Heather,ronnie is killing it! congrats man,1518
David,90 days of support gives me so much peace of mind,1535
Anthony,wait we get the account in 84 hours?,1552
Michelle T.,84 hours is incredably fast,1558
Kevin Walsh,navy secrets is yours?? i have watched those videos!,1582
Marie,15k in 28 days is life changing,1590
Andy,23000 from one channel... wow michael,1600
Lisa,abeebs story really hits home. i was laid off last month too,1650
John,so inspiring abeeb,1658
Adam,taking that leap of faith paid off for him,1666
Steve W.,ahmad doing 22k in 3 months is unteal,1674
Rebecca,i am so ready to do this,1682
Adam,i would honestly pay 10k for this to avoid the headache,1705
Steve W.,agreed time is money,1712
Lisa,yes very fair,1755
Anthony,absolutly fair,1759
John,yes massive discount,1784
Lisa,huge discount,1787
Adam,very fair,1790
Steve W.,wow that is crazy cheap,1794
Emily Clark,really fair,1796
Rebecca,that is an insane drop in price,1798
Rachel M.,i thought it woud be 5k at least,1806
Brian T.,crazy discount for sure,1840
Jason,yes!,1843
Emily Clark,incredible deal,1846
John,where's the link? can i grab this please?,1849
Andy,please share the link. sounds amazing,1852
Marie,link pls!,1854
Anthony,drop the link,1856
Justin R.,i am ready for the link,1858
Chris P.,link pls,1859
Lisa,please let me in,1861
Melissa Davis,uh oh whats the bad news?,1878
Steve W.,how many spots are left?,1888
Rebecca,please dont say you are out of accounts,1894
John,i need one of these accounts!,1900
Steve W.,how many accounts exactly?,1910
Adam,oh man i hope i get one,1915
John,i want to make sure i am first! please drop the link,1935
John,live,1938
Lisa,me too im ready,1939
Lisa,Live,1940
Heather,live,1941
Adam,live,1942
Anthony,what is the good news?,1943
Anthony,LIVE,1944
Steve W.,live,1945
David,live,1946
Rebecca,live,1947
Michelle T.,live,1948
Marie,live,1949
Kevin Walsh,live,1950
Andy,livee,1951
Scott,live,1953
Brian T.,live,1955
Laura B.,live,1956
Thomas,livr,1958
Steph G.,live,1960
Jason,live,1962
Gary,live,1963
Emily Clark,live,1964
Ronnie,live,1965
Rebecca,wait another 1000 off?!,1965
John,997 is an absolute steal,1980
Lisa,clicking the link now!,2025
Adam,just opened the order form,2030
Anthony,got the link thank u,2034
Rebecca,is there a payment plan?,2055
Nicole Adams,can we split the paymnt?,2062
Steve W.,thx for the split pay option!,2085
Pat M.,doing the 2x 597 now,2092
John,just locked mine in! so excited!,2130
Pat M.,just paid!,2135
Lisa,payment sucessful!,2145
Adam,i am officially in,2152
Adam,making money while running errands sounds perfect,2175
Lisa,yes i definitely need that ongoing cash flow,2182
Steve W.,is the 90 day support via email or a group?,2188
Steve W.,youtube is definitely not going anywhere,2205
John,wait 15k just from AI shorts?!,2218
Anthony,120 grand total is insane,2226
John,those case studies are insane,2232
Elizabeth,a university student making 13.5k is blowin my mind,2242
Alex F.,that 15k in two months is wild,2248
Megan,michael hit 23k? wow,2254
Rebecca,getting laid off is my biggest fear,2262
Lisa,hitting 10k for the first time would change my life,2275
John,filling out my details on the form right now,2280
Rebecca,10k a month would change my life entirely,2286
Adam,is the split pay still available?,2288
Steve W.,yes the 2x 597 is a lifesaver,2292
Tyler Brooks,just used the split pay option thx!,2296
Anthony,wait are u showing a vid from your phone?,2305
Marie,oh wow u can see the screen clearly,2310
Brittany,13 grand sitting right there on his dashboard,2318
John,that live proof is everything i needed to see,2325
Lisa,okay i was on the fence but that vid convinced me,2332
Chris P.,snagging my spot now before its gone,2338
Adam,997 is a tiny drop in the bucket compared to those results,2348
Steve W.,agreed it is totally worth it,2355
Lauren,can we buy more than one account?,2358
Rebecca,this is exactly what ive been looking for,2364
Joseph,just submitted my order!,2455
Kundan,i am in! so hyped,2459
Sam,payment went through! lets go,2463
Mark,got mine!,2466
Eric,im in!,2469
Amit,just joined,2472
Luan,joined from europe! cannot wait,2475
Nelson,got my spot,2479
Elizabeth,im in guys,2485
Lisa,isenior looks like such a smart niche,2530
John,can we pick our niche or do you pick the best one?,2538
Adam,14k euros is amazig,2548
Steve W.,im filling out the split pay form now,2685
Rebecca,just got mine on the split pay,2702
Anthony,ive wasted so much money on bad courses this feels lke a breath of fresh air,2855
Dylan S.,yes doing the work once n getting paid forever is the goal,2945
John,please share the link!,3075
Andy,link please,3078
Anthony,wheres the link?,3081
Marie,share the link. sounds amazing,3084
Adam,i am ready for this,3094
Lisa,yes i def need that shortcut,3102
John,live,3100
Lisa,live,3102
Adam,live,3104
Chris P.,live,3105
Anthony,live,3106
Steve W.,live,3108
Lauren,live,3109
Rebecca,live,3110
Dylan S.,live,3111
Marie,live,3112
Andy,live,3114
Steve W.,wait another 1000 off?!,3114
Sammi,live,3115
Sammi,live,3116
Aaron,live,3117
Aaron,loive,3118
Victoria L.,live,3119
Victoria L.,live,3120
Ben Walker,only 4 left!?,3135
Nick,loading the order form right now!,3142
John,filling out my details,3148
Lisa,guys hurry up if ur on the fence,3149
Lisa,this is exactly what ive been waiting for,3154
Ronnie,guys 997 is an absolute steal do it,3195
Adam,did the split pay 2x 597 thanks for that option!,3215
Steve W.,payment successful!,3222
Rebecca,im officially a youtube partner lol,3238
Maureen,just secured mine!! was worried id miss it,3280
John,congrats maureen!,3295
Lisa,are there any accounts left at all?,3315
Steve W.,lets c what google says...,3338
Adam,12 to 16 months of grinding? no thx,3350
Lisa,60 months median time... wow,3356
John,saving a year of hard work is easily worth 997,3368
Rebecca,time is money,3374
Adam,saving a year of grinding is worth 997 easily,3392
Steve W.,yeah google says 15 months on average to monetize... no thanks,3405
Cameron D.,just got my welcome email! that was so fast,3407
Anthony,just got the welcome email! so fast,3455
Anthony,are there still 2 left?,3545
Danielle,trying to get my card to go thru!,3552
Jordan M.,best investment ive made this year,3588
Heather,thanks for the amazing webinar,3635
Lisa,cant wait to check my chanel,3652
Adam,lets get to work guys,3658
David,thanks russell and team,3688
Michelle T.,snagging the last one hopefully!,3700
Karen,i got it!!,3738
Lisa,welcome karen!,3744
John,thanks for this awesome training,3762
Adam,lets get to work guys,3774
Steve W.,thx russell and team,3785
Rebecca,cant wait to check my new channel,3792